,city,state,job_title,company,salary,job_description,job_type,salary_category,date
128,Australia,Nan,Pathologist and Research Scientist - Reserve,"

        Australian Army",NA,"
Research Scientists are also integral components of RAAMC and are responsible for performing research at the Joint Health Command unit - the Australian Army...",fulltime,4,30+ days ago
129,Sydney NSW,Nan,Business Analyst Process Improvement Professional,"

        Children's Cancer Institute",NA,"
            5+ years’ experience as a Business Analyst with extensive end to end process improvement. We currently have an exciting opportunity for a Business Analyst...",fulltime,4,12 days ago
130,Sydney NSW,Nan,Operations Analyst - Fast Growing Startup,"
        and chill",NA,"
            You are passionate about the ability of data to change a business and how numbers can be transformed into key product insight....",fulltime,4,11 days ago
131,Sydney NSW,Nan,Property Analyst,"

        JLL",NA,"
            Taking the lead in quality management on the account data systems and client interface systems. The role also includes internal data system quality management,...",fulltime,4,18 days ago
132,St Leonards NSW,Nan,Technical Marketing Content Writer (freelance / part time),"
        Daisee","
                $60,000 - $120,000 a year","
            Daisee employs data scientists, software engineers and business professionals. Proven working experience in technical writing preferably in the field of...",fulltime,4,3 days ago
133,Australia,Nan,Programming Geek - Java/C/C++/PHP,"
        AllAssignmentHelp.com",NA,"
            Knowledgeable with the concepts of Java, C, C++, PHP, Python, Javascript. We are looking for expert writers to help students globally in their Marketing and HR...",fulltime,4,4 days ago
134,Sydney Western Suburbs NSW,Nan,Advanced Trainee,"
        NSW Health Service",NA,"
Research and Teaching:. Participation in research projects. Participation in appropriate research projects....",fulltime,4,11 days ago
135,Sydney NSW,Nan,Executive Interviewer – Part Time,"
        Kim & Associates",NA,"
            Cultivate and maintain relationship with Research Partners. Carry out quantitative and qualitative research interviews averaging 45 minutes....",fulltime,4,24 days ago
136,Canberra ACT,Nan,"22-2018 - APS Level 6 - Executive Level 1 - Budget Analyst,...","

        The Treasury",NA,"
            Chief Financial Officer Division / Corporate Services and Business Strategy Group. About the Roles....",fulltime,4,4 days ago
137,Sydney NSW,Nan,Property Analyst,"

        JLL",NA,"
            Taking the lead in quality management on the account data systems and client interface systems. The role also includes internal data system quality management,...",fulltime,4,18 days ago
138,North Shore NSW,Nan,Provisional Fellow,"
        NSW Health Service",NA,"
            Demonstrated commitment to research. The position will be primarily focussed on clinical research related to patients with neuroendocrine tumours, but there...",fulltime,4,11 days ago
139,Melbourne VIC,Nan,(Part-time or Job Share) Technology Solutions Professional -...,"

        Microsoft",NA,"
            You will lead and manage relationships with Data Scientists, Business Decision Makers (BDMs), App Dev Leads to drive Advanced Analytics platform adoption and...",fulltime,4,30+ days ago
140,Canberra ACT,Nan,"22-2018 - APS Level 6 - Executive Level 1 - Budget Analyst,...","

        The Treasury",NA,"
            Chief Financial Officer Division / Corporate Services and Business Strategy Group. About the Roles....",fulltime,4,4 days ago
141,Sydney NSW,Nan,Property Analyst,"

        JLL",NA,"
            Taking the lead in quality management on the account data systems and client interface systems. The role also includes internal data system quality management,...",fulltime,4,18 days ago
142,Melbourne VIC,Nan,(Part-time or Job Share) Technology Solutions Professional -...,"

        Microsoft",NA,"
            You will lead and manage relationships with Data Scientists, Business Decision Makers (BDMs), App Dev Leads to drive Advanced Analytics platform adoption and...",fulltime,4,30+ days ago
143,Melbourne VIC,Nan,(Part-time or Job Share) Technology Solutions Professional -...,"

        Microsoft",NA,"
            You will lead and manage relationships with Data Scientists, Business Decision Makers (BDMs), App Dev Leads to drive Advanced Analytics platform adoption and...",fulltime,4,30+ days ago
144,Sydney NSW,Nan,Airport Services Agent (9 months contract),"

        Qatar Airways",NA,"
            Experience - minimum 2 years of job-related experience required. Performs other related duties, as assigned, for the purpose of ensuring the efficient and...",fulltime,4,2 days ago
145,Sydney Kingsford Smith Airport NSW,Nan,Airport Manager - Sydney Airport ABG - NSW Sydney Airport,"

        Avis Budget Group",NA,"
            In addition to a competitive salary and product discounts, you'll be empowered to take responsibility and make decisions – to get on and do a great job!...",fulltime,4,9 days ago
146,Gosford NSW,Nan,Chocolate moulding,"
        Chocolate factory Gosford","
                $42,000 - $50,500 a year","
            In July 2018 we are opening a tourist destination at our 2600 sqm manufacturing plant in the Central Coast of NSW which will include a large retail store, a...",fulltime,4,29 days ago
147,Sydney NSW,Nan,Storepeople (Stock Inventory),"

        JB Hi-Fi",NA,"
            We are now looking for a Storeperson (Stock Inventory) to work at our Westfield Sydney store on a full time employment basis.Duties include processing incoming...",fulltime,4,3 days ago
148,Girraween NSW,Nan,Pick Packer,"

        GMP pharmaceuticals",NA,"
            Qualifications and Skills*. To apply for these positions and be successful you need to meet the following criteria:....",fulltime,4,3 days ago
149,North Shore NSW,Nan,Full-time Casual Dog Walker,"
        Trusty Tailz","
                $22.50 an hour","
            We require you to be able to work 5 days per week from 8.00am to 3.30 where you will pick up 4 dogs from their homes, take them to the park where they run off...",fulltime,4,5 days ago
150,Sydney NSW,Nan,Passenger Attendant,"
        NSW Public Service Commission",NA,"
            We welcome and encourage applications from diverse community groups and ages including Aboriginal and Torres Strait Islander, LGBTI, people with disabilities,...",fulltime,4,3 days ago
151,Western Australia,Nan,Minesite Cleaner - FIFO,"

        Spotless",NA,"
            If staff are required to obtain qualifications to perform other duties then Spotless will provide training to ensure staff will be able to perform these duties...",fulltime,4,10 days ago
152,Wollongong NSW,Nan,Student Administration Officer,"

        University of Wollongong",NA,"
            You will be prompted to respond to the selection criteria as part of the online application process, based on the position description below....",fulltime,4,4 days ago
153,Sydney NSW,Nan,Junior Data Analyst,"
        SECORA","
                $75,000 - $80,000 a year","
            Junior Data Analyst. The Junior Data Analyst will; The Junior Data Analyst will undertake in depth evaluation and verification of data, ensuring information is...",fulltime,4,3 days ago
154,Sydney NSW,Nan,Machine Learning- Medical Image Analysis,"
        See-Mode Technologies","
                $75,000 - $100,000 a year","
            Experience in computer vision, medical image analysis, and machine learning. Strong programming skills in Python or C++....",fulltime,4,7 days ago
155,Sydney NSW,Nan,Data Scientist,"

        Freelancer.com","
                $65,000 - $110,000 a year","
            Proven experience as a data scientist or analyst. Extensive knowledge and experience in statistics, machine learning and big data analytics a plus....",fulltime,4,5 days ago
156,Sydney Central Business District NSW,Nan,BUSINESS INTELLIGENCE ANALYST,"

        Torrens University Australia",NA,"
            Facilitate business intelligence skill development. The Business Intelligence Analyst is responsible for the development and implementation of a suite of...",fulltime,4,4 days ago
